aktifitas,tanggal,kategori,catatan,isPengeluaran,jumlah
Masker,2024-05-24,['Belanja'],Pas pigi ke Barru dengan anak2 INR,True,5000
Nasi kuning,2024-05-25,['Makan'],,True,10000
Zaim pinjam uang,2024-05-26,['Pinjam'],,True,20000
Gado-gado,2024-05-26,['Makan'],,True,13000
Es Teh Manis di Warko DS,2024-05-26,['Makan'],,True,15000
Kompa ban,2024-05-27,"['Belanja', 'Kuliah']",,True,3000
Tempa,2024-05-27,['Makan'],,True,10000
Makan siang,2024-05-27,['Makan'],,True,10000
Jajan,2024-05-27,['Jajan'],,True,2000
Jalang Kotek,2024-05-27,['Makan'],,True,4000
Kopi dan Marimas,2024-05-27,['Makan'],,True,5000
Masuk musium,2024-05-28,['Kuliah'],,True,10000
Jajan,2024-05-28,"['Jajan', 'Makan']",,True,4000
Bensin,2024-05-28,['Kuliah'],,True,20000
Jajan,2024-05-29,['Jajan'],,True,8000
Bensin,2024-05-29,['Kuliah'],,True,20000
Beli Galdan,2024-05-29,['Makan'],Beli galdannya angkatan 23 untuk kegiatan Reformatika.,True,10000
Bakso,2024-05-30,['Makan'],,True,10000
Bensin,2024-05-31,['Kuliah'],,True,20000
"Rinso, mie dan biskuit",2024-05-31,"['Belanja', 'Makan']",,True,28000
Tempe,2024-05-31,['Makan'],,True,10000
Foto studio,2024-06-02,['Belanja'],,True,15000
Makan siang,2024-06-02,['Makan'],,True,10000
Bayar iuran,2024-06-02,['Iuran'],,True,30000
Kopi Meelo,2024-06-02,['Makan'],,True,5000
Gorengan,2024-06-02,['Makan'],,True,7000
Tarik uang,2024-06-03,['Gajian'],Cuma 800 yang diambil biar sisa uangnya untuk pembeli pulsa.,False,800000
